query_id,query/product,description,expected_standard,semantic_rank,bm25_rank,rrf_rank,reranked_rank,error_type,top1_standard,notes
old39_01,tiles for lining an irrigation canal,,IS 3367: 1993,1,1,1,1,PASS,IS 3367: 1993,
old39_02,hand made burnt clay tiles for a terrace,,IS 2690 (Part 2): 1992,1,1,1,1,PASS,IS 2690 (Part 2): 1992,
old39_03,machine made burnt clay tiles for terracing,,IS 2690 (Part 1): 1993,1,1,1,1,PASS,IS 2690 (Part 1): 1993,
old39_04,hollow clay filler tiles for a roof,,IS 3951 (Part 1): 1975,1,1,1,1,PASS,IS 3951 (Part 1): 1975,
old39_05,structural hollow clay tiles for flooring,,IS 3951 (Part 2): 1975,1,1,1,1,PASS,IS 3951 (Part 2): 1975,
old39_06,clay floor tiles,,IS 1478: 1992,1,10,4,1,PASS,IS 1478: 1992,
old39_07,Mangalore pattern clay roofing tiles,,IS 654: 1992,1,1,1,1,PASS,IS 654: 1992,
old39_08,clay tiles for a roof ridge,,IS 1464: 1992,2,1,1,1,PASS,IS 1464: 1992,
old39_09,handmade country roofing tiles,,IS 13317: 1992,1,1,1,1,PASS,IS 13317: 1992,
old39_10,UPVC casing pipe for a borewell,,IS 12818: 1992,1,4,2,1,PASS,IS 12818: 1992,
old39_11,steel casing tube for a water well,,IS 4270: 2001,1,3,1,1,PASS,IS 4270: 2001,
old39_12,plastic pipe for soil and waste discharge inside a building,,IS 13592: 1992,1,2,1,1,PASS,IS 13592: 1992,
old39_13,HDPE pipe for carrying sewage,,IS 14333: 1996,1,4,1,1,PASS,IS 14333: 1996,
old39_14,GRP pressure pipe for potable drinking water,,IS 12709: 1994,1,2,1,1,PASS,IS 12709: 1994,
old39_15,GRP pipe for industrial wastewater and non potable water,,IS 14402: 1996,1,1,1,1,PASS,IS 14402: 1996,
old39_16,large diameter welded steel pipe for water and sewage,,IS 3589: 2001,1,1,1,1,PASS,IS 3589: 2001,
old39_17,calcium silicate insulation for equipment operating near 600 degrees C,,IS 8154: 1993,1,3,2,1,PASS,IS 8154: 1993,
old39_18,calcium silicate insulation required for a surface near 900 degrees C,,IS 9428: 1993,1,2,1,1,PASS,IS 9428: 1993,
old39_19,bonded mineral wool insulation slabs,,IS 8183: 1993,1,1,1,1,PASS,IS 8183: 1993,
old39_20,loose unbonded rock wool for thermal insulation,,IS 3677: 1985,1,1,1,1,PASS,IS 3677: 1985,
old39_21,sprayed mineral wool thermal insulation,,IS 9742: 1993,1,1,1,1,PASS,IS 9742: 1993,
old39_22,expanded polystyrene material for thermal insulation,,IS 4671: 1984,1,1,1,1,PASS,IS 4671: 1984,
old39_23,rigid polyurethane or polyisocyanurate foam thermal insulation,,IS 12436: 1988,1,1,1,1,PASS,IS 12436: 1988,
old39_24,ordinary Portland cement 43 grade,,IS 8112: 1989,1,1,1,1,PASS,IS 8112: 1989,
old39_25,Portland slag cement,,IS 455: 1989,1,1,1,1,PASS,IS 455: 1989,
old39_26,Portland pozzolana cement made using fly ash,,IS 1489 (Part 1): 1991,1,1,1,2,PART_OR_VARIANT_CONFUSION,IS 1489 (Part 2): 1991,
old39_27,PPC manufactured using calcined clay pozzolana,,IS 1489 (Part 2): 1991,1,1,1,1,PASS,IS 1489 (Part 2): 1991,
old39_28,cement for masonry mortar and not structural concrete,,IS 3466: 1988,1,1,1,1,PASS,IS 3466: 1988,
old39_29,white cement for architectural decorative use,,IS 8042: 1989,1,1,1,1,PASS,IS 8042: 1989,
old39_30,product grade C hexagon head bolt M12,,IS 1363 (Part 1): 2002,1,1,1,2,PART_OR_VARIANT_CONFUSION,IS 12427: 2001,
old39_31,product grade C hexagon head screw,,IS 1363 (Part 2): 2002,1,1,1,1,PASS,IS 1363 (Part 2): 2002,
old39_32,product grade C hexagon nut,,IS 1363 (Part 3): 2002,1,1,1,1,PASS,IS 1363 (Part 3): 2002,
old39_33,slotted countersunk head screw,,IS 1365: 1978,1,1,1,1,PASS,IS 1365: 1978,
old39_34,high strength structural bolts,,IS 3757: 1985,1,1,1,1,PASS,IS 3757: 1985,
old39_35,single door non return valve for a water pipeline,,IS 5312 (Part 1): 2004,1,1,1,1,PASS,IS 5312 (Part 1): 2004,
old39_36,multi door reflux valve for water works,,IS 5312 (Part 2): 1986,1,1,1,1,PASS,IS 5312 (Part 2): 1986,
old39_37,pressure reducing valve for a domestic water supply system,,IS 9739: 1981,1,1,1,1,PASS,IS 9739: 1981,
old39_38,cast iron air relief valve for a water main,,IS 14845: 2000,,,,,RETRIEVAL_MISS,IS 9338: 1984,
old39_39,non rising stem sluice valve for water supply,,IS 14846: 2000,1,1,1,1,PASS,IS 14846: 2000,
