standard_code,raw_title,summary_heading_present,scope_present,is_mentions,classification,notes
IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10124 (Part 3): 1988,FABRICATED PVC FITTINGS FOR,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10238: 2001,FASTENERS – THREADED STEEL,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10292: 1988,DIMENSIONAL REQUIREMENTS FOR RUBBER,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10360: 1982,LIME-POZZOLANA CONCRETE,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1038: 1983,"STEEL DOOR, WINDOWS AND VENTILATORS",True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10394: 1982,WOODEN SLEEPERS FOR  RAILWAY TRACK,True,True,12,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10701: 1983,STRUCTURAL PLYWOOD,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 10772: 1983,QUICK SETTING LIME POZZOLANA MIXTURE,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1077: 1992,COMMON BURNT CLAY BUILDING BRICKS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1079: 1994,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 11128: 1984,SPRAY – APPLIED HYDRATED CALCIUM SILICATE,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1128: 1974,LIMESTONE (SLAB AND  TILES),True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 11308: 1985,HYDRAULIC SETTING THERMAL INSULATING,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1149: 1982,HIGH  TENSILE STEEL RIVETS BARS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 11587: 1986,STRUCTURAL WEATHER RESISTANCE STEELS,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1161: 1998,STEEL  TUBES FOR STRUCTURAL PURPOSES.,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1195: 2002,BITUMEN MASTIC FOR FLOORING,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED,True,True,13,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1239 (Part 1): 2004,"STEEL TUBES, TUBULARS ANDOTHER",True,True,9,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12427: 2001,FASTENERS – THREADED STEEL,True,True,12,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12709: 1994,GLASS FIBRE REINFORCED PLASTICS (GRP),True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12778: 2004,HOT ROLLED PARALLEL FLANGE STEEL SECTION,True,True,14,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12818: 1992,UNPLASTICISED   PVC SCREEN AND CASING,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12823: 1990,WOOD PRODUCTS-PRELAMINATED,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12866: 1989,PLASTIC TRANSLUCENT SHEET MADE,True,True,11,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12894: 2002,PULVERIZED FUEL ASH-LIME BRICKS,True,True,18,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12896: 1990,INDIAN TIMBERS FOR DOOR AND,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 12987: 1991,CAST IRON DETACHABLE JOINTS FOR USE WITH,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13026: 1991,BITUMEN MASTIC FOR FLOORING FOR,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13204: 1991,RIGID PHENOLIC FOAM FOR THERMAL,True,True,15,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1326: 1992,NON-CONIFEROUS  SAWN TIMBER,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1328: 1996,VENEERED DECORATIVE PLYWOOD,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13317: 1992,"CLAY ROOFING COUNTRY TILES,",True,False,6,REVIEW_REQUIRED,some own-record anchors are present but source boundaries need human review
IS 13592: 1992,UNPLASTILIZED POLYVINYL CHLORIDE (UPVC),True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13753: 1993,DUST– PRESSED CERAMIC TILES WITH WATER,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13754: 1993,DUST – PRESSED CERAMIC TILES WITH,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13755: 1993,DUST– PRESSED CERAMIC TILES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13756: 1993,DUST – PRESSED CERAMIC TILES WITH LOW,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13757: 1993,BURNT CLAY FLY ASH BUILDING BRICKS,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13957: 1994,METAL FACED PLYWOOD,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 13990: 1994,PRECAST REINFORCED CONCRETE,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14143: 1994,PREFABRICATED BRICK PANEL AND PARTIALLY,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14182: 1994,SOLVENT CEMENT FOR USE WITH UNPLASTICIZED,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14223 (Part 1): 1995,POLISHED BUILDING STONES,True,True,27,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14241: 1995,PRECAST REINFORCED CONCRETE  L–PANEL,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14268: 1995,UNCOATED STRESS RELIEVED  LOW,True,True,20,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14276: 1995,CEMENT BONDED PARTICLE BOARDS,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14402: 1996,GLASS FIBRE REINFORCED PLASTICS (GRP),True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14587: 1998,PRE-LAMINATED MEDIUM DENSITY FIBRE,True,True,38,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14588: 1999,BAMBOO MAT-VEENER COMPOSITE FOR,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14616: 1999,LAMINATED  VENEER LUMBER,True,True,8,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14695: 1999,GLASS FIBRE BASE COAL,True,True,99,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14735: 1999,UNPLASTICIZED POLYVINYL CHLORIDE (UPVC),True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14753: 1999,POLYMETHYL METHACRYLATE (PMMA),True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14772: 2000,GENERAL REQUIREMENTS FOR ENCLOSURES,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14842: 2000,COIR VENEER BOARD FOR,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14856: 2000,GLASS FIBRE REINFORCED PLASTIC (GRP),True,True,18,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1489 (Part 1): 1991,PORTLAND POZZOLANA CEMENT,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1489 (Part 2): 1991,PORTLAND POZZOLANA CEMENT,True,True,9,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 14912: 2001,DOOR CLOSERS - CONCEALED TYPE,True,True,34,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1542: 1992,SAND FOR  PLASTER,True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 15491: 2004,MEDIUM DENSITY COIRBOARDS FOR,True,True,22,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1554 (Part 1): 1988,PVC INSULATED (HEAVY DUTY),True,True,6,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1566: 1982,HARD - DRAWN  STEEL WIRE FABRIC FOR CON-,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1580: 1991,BITUMINOUS COMPOUNDS FOR,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1592: 2003,ASBESTOS CEMENT PRESSURE PIPES,True,True,7,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
IS 1626: 1984,ASBESTOS CEMENT BUILDING,True,True,5,SAFE,"own code, title/summary, and scope are identifiable; IS mentions treated as references"
