standard_code,raw_title,canonical_title_expanded,standard_kind,old_canonical_product,new_canonical_product,product_subtype,primary_subject,material,application,function,applies_to_product_families,confidence,evidence,resolution_status,review_required,notes
IS 10019: 1981,MILD STEEL  STAYS  AND FASTENERS,,material_standard,,fastener,,MILD STEEL STAYS AND FASTENERS,steel,door and window construction,,door_window; fastener,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1003 (Part 2): 1994,TIMBER PANELLED AND,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,material_standard,,window,,TIMBER PANELLED AND GLAZED SHUTTERS PART 2 – WINDOW AND VENTILATOR SHUTTERS,timber,door and window construction,,door_window; glass; timber; wood_board,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10090: 1982,NUMERICALS,,material_standard,,screw,,NUMERICALS,aluminium,,,,high,"{""canonical_product"": [""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1019: 1974,RIM LATCHES,,material_standard,,latch,,RIM LATCHES,steel,door and window construction,,hardware,high,"{""application"": [""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10342: 1982,CURTAIN  RAIL SYSTEM,"CURTAIN RAIL SYSTEM For detailed information, refer to IS 10342 : 1982 Specification for curtain rail system. 1. Scope – Requirements regarding materials, manufacture, dimensions, testing and finish of rails,",material_standard,,dimensions_testing_finish_rails,,"CURTAIN RAIL SYSTEM For detailed information, refer to IS 10342 : 1982 Specification for curtain rail system. 1. Scope – Requirements regarding materials, manufacture, dimensions, testing and finish of rails",steel,,,,high,"{""canonical_product"": [""title""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 10360: 1982,LIME-POZZOLANA CONCRETE,LIME-POZZOLANA CONCRETE BLOCKS FOR PAVING,product_standard,,cement,,LIME-POZZOLANA CONCRETE BLOCKS FOR PAVING,clay,,,cement; masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,low_confidence_metadata
IS 1038: 1983,"STEEL DOOR, WINDOWS AND VENTILATORS",,material_standard,,window,,"STEEL DOOR, WINDOWS AND VENTILATORS",steel,door and window construction,,door_window; steel,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10394: 1982,WOODEN SLEEPERS FOR  RAILWAY TRACK,,product_standard,,timber,,WOODEN SLEEPERS FOR RAILWAY TRACK,steel,railway track,,timber,high,"{""application"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10451: 1983,STEEL SLIDING SHUTTERS,,material_standard,,door,,STEEL SLIDING SHUTTERS,steel,,,door_window,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10521: 1983,COLLAPSIBLE GATES,"COLLAPSIBLE GATES 1. Scope – Requirements regarding materials, fabrication and finish of different types of collapsible gates.",material_standard,,gate,,"COLLAPSIBLE GATES 1. Scope – Requirements regarding materials, fabrication and finish of different types of collapsible gates",steel,,,hardware,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10701: 1983,STRUCTURAL PLYWOOD,"STRUCTURAL PLYWOOD 1. Scope – Requirements of plywood for structural purposes, such as stressed skin panels, plywood web beams, sheathing, silos, rail and ship containers.",product_standard,,board,plywood,plywood,timber,,,wood_board,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""], ""product_subtype"": [""title"", ""scope"", ""full_text_summary_heading""]}",RESOLVED_PRODUCT,False,
IS 10772: 1983,QUICK SETTING LIME POZZOLANA MIXTURE,"QUICK SETTING LIME POZZOLANA MIXTURE Note —For methods of tests, refer to various parts of IS 1514:1990 Methods of sampling and tests for quicklime and hydrated lime",test_method,,,,"QUICK SETTING LIME POZZOLANA MIXTURE Note —For methods of tests, refer to various parts of IS 1514:1990 Methods of sampling and tests for quicklime and hydrated lime",HDPE,,,cement,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_NON_PRODUCT,False,
IS 1077: 1992,COMMON BURNT CLAY BUILDING BRICKS,,product_standard,,brick,,COMMON BURNT CLAY BUILDING BRICKS,clay,,,masonry_unit,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1079: 1994,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,,material_standard,,steel_sheet,,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,steel,,,steel,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 10889: 1984,HIGH DENSITY POLYTHYLENE FILM,HIGH DENSITY POLYTHYLENE FILM 1. Scope – Requirements and the methods of sampling and test for natural and black colour (carbon black pigment) high density polyethylene films. Coloured films,product_standard,,polyethylene_films_coloured_films,,HIGH DENSITY POLYTHYLENE FILM 1. Scope – Requirements and the methods of sampling and test for natural and black colour (carbon black pigment) high density polyethylene films. Coloured films,HDPE,,,,high,"{""canonical_product"": [""title""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",REVIEW_REQUIRED,True,source_grounded_fallback_requires_review
IS 110: 1983,"READY MIXED PAINT, BRUSHING, GREY FILLER,","READY MIXED PAINT, BRUSHING, GREY FILLER, FOR ENAMELS FOR USE OVER PRIMERS",material_standard,,paint,,"READY MIXED PAINT, BRUSHING, GREY FILLER, FOR ENAMELS FOR USE OVER PRIMERS",,,,coating,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 11246: 1992,GLASS FIBRE REINFORCED POLYESTER,GLASS FIBRE REINFORCED POLYESTER RESIN (GRP) SQUATTING PANS,material_standard,,glass,,GLASS FIBRE REINFORCED POLYESTER RESIN (GRP) SQUATTING PANS,glass fibre reinforced plastic,,,glass,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1127: 1970,DIMENSIONS AND WORKMANSHIP OF NATURAL,DIMENSIONS AND WORKMANSHIP OF NATURAL BUILDING STONES FOR MASONRY WORK,other,,stone,,DIMENSIONS AND WORKMANSHIP OF NATURAL BUILDING STONES FOR MASONRY WORK,,,,stone,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 11308: 1985,HYDRAULIC SETTING THERMAL INSULATING,HYDRAULIC SETTING THERMAL INSULATING CASTABLES FOR TEMPERATURE UPTO 1250ºC 1. Scope – Requirements and methods of sampling and test for hydraulic setting thermal insulating,product_standard,,thermal_insulation,,HYDRAULIC SETTING THERMAL INSULATING CASTABLES FOR TEMPERATURE UPTO 1250ºC 1. Scope – Requirements and methods of sampling and test for hydraulic setting thermal insulating,,thermal insulation,thermal_insulation,thermal_insulation,high,"{""application"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""title"", ""scope"", ""full_text_summary_heading""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 11433 (Part 1): 1985,ONE-PART GUN-GRADE POLYSULPHIDE-,ONE-PART GUN-GRADE POLYSULPHIDE- BASED JOINT SEALANTS PART 1 GENERAL REQUIREMENTS,product_standard,,sealant,,ONE-PART GUN-GRADE POLYSULPHIDE- BASED JOINT SEALANTS PART 1 GENERAL REQUIREMENTS,steel,,,sealant,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""material"": [""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
IS 1148: 1982,HOT  ROLLED  STEEL RIVETS  BARS,,material_standard,,rivet,,HOT ROLLED STEEL RIVETS BARS,steel,,structural_fastening,fastener,high,"{""applies_to_product_families"": [""title"", ""scope""], ""canonical_product"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""function"": [""scope""], ""material"": [""title"", ""scope"", ""full_text_summary_heading"", ""full_text_repeated_terms""], ""primary_subject"": [""title""]}",RESOLVED_PRODUCT,False,
