standard_code,old_product,new_product,old_confidence,new_confidence,changed,reason
IS 10019: 1981,,fastener,low,high,True,title_scope_or_summary
IS 1003 (Part 1): 2003,cement,door,low,high,True,title_scope_or_summary
IS 1003 (Part 2): 1994,,window,low,high,True,title_scope_or_summary
IS 10090: 1982,,screw,low,low,True,full_text_repeated_terms
IS 10124 (Part 10): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 11): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 12): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 13): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 2): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 3): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 4): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 5): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 6): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 7): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 8): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 10124 (Part 9): 1988,pipe_fitting,pipe_fitting,high,high,False,unchanged
IS 1019: 1974,,latch,low,high,True,title_scope_or_summary
IS 10238: 2001,bolt,bolt,low,high,True,title_scope_or_summary
IS 10292: 1988,pipe,cement,low,high,True,title_scope_or_summary
IS 10299: 1982,pipe,pipe,low,low,False,unchanged
IS 10342: 1982,,dimensions_testing_finish_rails,low,medium,True,source_grounded_title_phrase
IS 10360: 1982,,cement,low,low,True,full_text_repeated_terms
IS 10388: 1982,cement,,low,high,True,non_product_family_link
IS 1038: 1983,,window,low,high,True,title_scope_or_summary
IS 10394: 1982,,timber,low,high,True,title_scope_or_summary
IS 10451: 1983,,door,low,high,True,title_scope_or_summary
IS 10521: 1983,,gate,low,high,True,title_scope_or_summary
IS 10701: 1983,,board,low,high,True,title_scope_or_summary
IS 10772: 1983,,,low,high,True,non_product_family_link
IS 1077: 1992,,brick,low,high,True,title_scope_or_summary
IS 1079: 1994,,steel_sheet,low,high,True,title_scope_or_summary
IS 10889: 1984,,polyethylene_films_coloured_films,low,medium,True,source_grounded_title_phrase
IS 110: 1983,,paint,low,high,True,title_scope_or_summary
IS 11128: 1984,thermal_insulation,thermal_insulation,medium,high,True,title_scope_or_summary
IS 1120: 1975,screw,screw,high,high,False,unchanged
IS 11246: 1992,,glass,low,high,True,title_scope_or_summary
IS 1127: 1970,,stone,low,high,True,title_scope_or_summary
IS 1128: 1974,tile,tile,high,high,False,unchanged
IS 11307: 1985,pipe,thermal_insulation,high,high,True,title_scope_or_summary
IS 11308: 1985,,thermal_insulation,low,high,True,title_scope_or_summary
IS 1130: 1969,tile,block,high,low,True,full_text_repeated_terms
IS 11433 (Part 1): 1985,,sealant,low,high,True,title_scope_or_summary
IS 1148: 1982,,rivet,low,high,True,title_scope_or_summary
IS 1149: 1982,,rivet,low,high,True,title_scope_or_summary
IS 11587: 1986,,valve,low,low,True,full_text_repeated_terms
IS 1161: 1998,pipe,pipe,high,high,False,unchanged
IS 1173: 1978,,pipe_fitting,low,low,True,full_text_repeated_terms
IS 11925: 1986,pipe,,low,high,True,non_product_family_link
IS 1195: 2002,,aggregate,low,high,True,title_scope_or_summary
IS 12027: 1987,,cement,low,low,True,full_text_repeated_terms
IS 12049: 1987,thermal_insulation,board,low,high,True,title_scope_or_summary
IS 12118 (Part 1): 1987,,sealant,low,high,True,title_scope_or_summary
IS 12234: 1988,valve,,high,high,True,non_product_family_link
IS 12269: 1987,cement,cement,high,high,False,unchanged
IS 1230: 1979,pipe,pipe_fitting,low,low,True,full_text_repeated_terms
IS 12313: 1988,,steel_sheet,low,high,True,title_scope_or_summary
IS 12330: 1988,cement,cement,high,high,False,unchanged
IS 1237: 1980,cement,cement,low,low,False,unchanged
IS 1239 (Part 1): 2004,pipe,pipe,high,high,False,unchanged
IS 12406: 2003,,board,low,high,True,title_scope_or_summary
