issue_type,source_index,is_code,is_code_norm,title,detail
possible_merged_record_artifact,3,IS 9142: 1979,IS9142:1979,ARTIFICIAL LIGHTWEIGHT AGGREGATES FOR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,5,IS 455: 1989,IS455:1989,PORTLAND SLAG CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,6,IS 1489 (Part 1): 1991,IS1489(PART 1):1991,PORTLAND POZZOLANA CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,7,IS 1489 (Part 2): 1991,IS1489(PART 2):1991,PORTLAND POZZOLANA CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,11,IS 8041: 1990,IS8041:1990,RAPID HARDENING PORTLAND CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,12,IS 8042: 1989,IS8042:1989,WHITE  PORTLAND CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,15,IS 12269: 1987,IS12269:1987,53 GRADE ORDINARY PORTLAND CEMENT,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,32,IS 13990: 1994,IS13990:1994,PRECAST REINFORCED CONCRETE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,33,IS 14143: 1994,IS14143:1994,PREFABRICATED BRICK PANEL AND PARTIALLY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,35,IS 14241: 1995,IS14241:1995,PRECAST REINFORCED CONCRETE  L–PANEL,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,37,IS 1592: 2003,IS1592:2003,ASBESTOS CEMENT PRESSURE PIPES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,40,IS 1626: 1984,IS1626:1984,ASBESTOS CEMENT BUILDING,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,41,IS 2096: 1992,IS2096:1992,ASBESTOS CEMENT FLAT SHEETS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,45,IS 9627: 1980,IS9627:1980,ASBESTOS CEMENT PRESSURE PIPES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,49,IS 784: 2001,IS784:2001,PRESTRESSED CONCRETE PIPES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,52,IS 7322: 1985,IS7322:1985,SPECIALS FOR STEEL CYLINDER REINFORCED,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,53,IS 1834: 1984,IS1834:1984,HOT APPLIED SEALING COMPOUNDS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,56,IS 12118 (Part 1): 1987,IS12118(PART 1):1987,TWO-PARTS POLYSULPHIDE BASED,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,59,IS 3068: 1986,IS3068:1986,BROKEN BRICK (BURNT CLAY) COARSE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,61,IS 3182: 1986,IS3182:1986,BROKEN BRICK (BURNT CLAY),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,62,IS 4098: 1983,IS4098:1983,LIME POZZOLANA MIXTURE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,64,IS 10360: 1982,IS10360:1982,LIME-POZZOLANA CONCRETE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,65,IS 10772: 1983,IS10772:1983,QUICK SETTING LIME POZZOLANA MIXTURE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,66,IS 12894: 2002,IS12894:2002,PULVERIZED FUEL ASH-LIME BRICKS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,68,IS 1128: 1974,IS1128:1974,LIMESTONE (SLAB AND  TILES),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,70,IS 3316: 1974,IS3316:1974,STRUCTURAL GRANITE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,72,IS 3622: 1977,IS3622:1977,SANDSTONE (SLABS AND TILES),text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,73,IS 6250: 1981,IS6250:1981,ROOFING SLATE TILES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,74,IS 6579: 1981,IS6579:1981,COARSE AGGREGATE FOR WATER BOUND,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,75,IS 9394: 1979,IS9394:1979,STONE LINTELS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,76,IS 14223 (Part 1): 1995,IS14223(PART 1):1995,POLISHED BUILDING STONES,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,77,IS 1077: 1992,IS1077:1992,COMMON BURNT CLAY BUILDING BRICKS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,85,IS 6165: 1992,IS6165:1992,DIMENSIONS FOR SPECIAL SHAPES OF CLAY,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,86,IS 13757: 1993,IS13757:1993,BURNT CLAY FLY ASH BUILDING BRICKS,text contains repeated IS-code-like references or parser merge markers
missing_scope,96,IS 13317: 1992,IS13317:1992,"CLAY ROOFING COUNTRY TILES,",scope is missing
possible_merged_record_artifact,96,IS 13317: 1992,IS13317:1992,"CLAY ROOFING COUNTRY TILES,",text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,97,IS 2095 (Part 1): 1996,IS2095(PART 1):1996,GYPSUM PLASTER BOARDS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,98,IS 2095 (Part 3): 1996,IS2095(PART 3):1996,GYPSUM PLASTER BOARDS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,102,IS 8272: 1984,IS8272:1984,GYPSUM PLASTER FOR USE IN THE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,104,IS 12896: 1990,IS12896:1990,INDIAN TIMBERS FOR DOOR AND,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,107,IS 1326: 1992,IS1326:1992,NON-CONIFEROUS  SAWN TIMBER,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,110,IS 3629: 1986,IS3629:1986,STRUCTURAL TIMBER IN BUILDINGS,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,117,IS 10394: 1982,IS10394:1982,WOODEN SLEEPERS FOR  RAILWAY TRACK,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,118,IS 73: 1992,IS73:1992,PAVING BITUMEN,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,119,IS 212: 1983,IS212:1983,CRUDE COAL TAR FOR GENERAL USE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,120,IS 215: 1995,IS215:1995,ROAD TAR,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,121,IS 216: 1961,IS216:1961,COAL TAR PITCH,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,122,IS 218: 1983,IS218:1983,CREOSOTE OIL FOR USE AS WOOD,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,123,IS 454: 1994,IS454:1994,CUTBACK  BITUMEN FROM WAXY CRUDE,text contains repeated IS-code-like references or parser merge markers
possible_merged_record_artifact,124,IS 702: 1988,IS702:1988,INDUSTRIAL BITUMEN,text contains repeated IS-code-like references or parser merge markers
