query_id,query,positive_standard,positive_title,product,description,style,specificity,source_fields,hard_negative_codes,review_status,review_notes
fcq_is_10019_1981_01,MILD STEEL STAYS AND FASTENERS standard,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,MILD STEEL STAYS AND FASTENERS,product_only,specific,primary_subject,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_02,steel fastener,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,steel construction or composition,product_material,specific,canonical_product;material,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_03,fastener for door and window construction,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,for door and window construction,product_application,specific,canonical_product;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_04,steel fastener for door and window construction,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,steel product for door and window construction,material_application,specific,canonical_product;material;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_05,Supply fastener meeting Indian Standard requirements for door and window construction; steel,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,door and window construction; steel,tender_sentence,specific,canonical_product;application;material,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_06,Need the Indian Standard covering MILD STEEL STAYS AND FASTENERS,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,MILD STEEL STAYS AND FASTENERS,natural_language,specific,title,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_07,"fastener, door and window construction",IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fastener,door and window construction,boq_short,general_but_sufficient,canonical_product;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_08,fasteners for door and window construction,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,fasteners,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_09,stay for door and window construction,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,stay,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_10019_1981_10,stays for door and window construction,IS 10019: 1981,MILD STEEL STAYS AND FASTENERS,stays,door and window construction,alias,general_but_sufficient,product_aliases;application,IS 7534: 1985;IS 10090: 1982;IS 208: 1996;IS 9106: 1979,generated_from_metadata,
fcq_is_1003_part_1_2003_01,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS standard,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,product_only,specific,primary_subject,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_02,timber door,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,timber construction or composition,product_material,specific,canonical_product;material,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_03,door for flooring,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,for flooring,product_application,specific,canonical_product;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_04,timber door for flooring,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,timber product for flooring,material_application,specific,canonical_product;material;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_05,Supply door meeting Indian Standard requirements for flooring; timber,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,flooring; timber,tender_sentence,specific,canonical_product;application;material,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_06,Need the Indian Standard covering TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,natural_language,specific,title,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_07,"door, flooring",IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door,flooring,boq_short,general_but_sufficient,canonical_product;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
fcq_is_1003_part_1_2003_08,door frame for flooring,IS 1003 (Part 1): 2003,TIMBER PANELLED AND GLAZED SHUTTERS PART 1 DOOR SHUTTERS,door frame,flooring,alias,general_but_sufficient,product_aliases;application,IS 1003 (Part 2): 1994;IS 4021: 1995;IS 14856: 2000;IS 15491: 2004,generated_from_metadata,
